timestamp,processes,grid_rows,grid_cols,execution_time,computation_time
2025-06-27 17:53:22,1,1,1,21.83740,20.96725
2025-06-27 17:54:16,3,3,1,7.34727,6.63999
2025-06-27 17:54:17,4,2,2,5.81749,5.04592
2025-06-27 17:54:17,2,2,1,9.94296,9.14613
2025-06-27 17:54:19,5,5,1,4.84141,4.04820
2025-06-27 17:54:22,6,3,2,4.22148,3.31712
2025-06-27 17:54:23,7,7,1,3.77324,2.95883
2025-06-27 17:54:24,8,4,2,3.49581,2.59917
2025-06-27 17:54:27,9,3,3,3.24841,2.40840
2025-06-27 17:56:28,10,5,2,3.02321,2.20290
2025-06-27 17:56:30,11,11,1,2.91244,2.01091
2025-06-27 17:56:32,12,4,3,2.80644,1.84351
2025-06-27 17:56:33,13,13,1,2.74174,1.81426
2025-06-27 17:56:35,14,7,2,2.67954,1.68370
2025-06-27 17:56:38,15,5,3,2.64504,1.69181
2025-06-27 17:56:40,16,4,4,2.56436,1.59157
